Ticker,Tier,Profile,TierAdjustment,MinLiquidityRpB,MinRR2,TopCandidateMinScore
AADI,A,Core quality/liquid,3.0,5.0,1.5,70.0
ACES,A,Core quality/liquid,3.0,5.0,1.5,70.0
ADMR,A,Core quality/liquid,3.0,5.0,1.5,70.0
ADRO,A,Core quality/liquid,3.0,5.0,1.5,70.0
AKRA,A,Core quality/liquid,3.0,5.0,1.5,70.0
AMMN,A,Core quality/liquid,3.0,5.0,1.5,70.0
AMRT,A,Core quality/liquid,3.0,5.0,1.5,70.0
ANTM,A,Core quality/liquid,3.0,5.0,1.5,70.0
ARTO,A,Core quality/liquid,3.0,5.0,1.5,70.0
ASII,A,Core quality/liquid,3.0,5.0,1.5,70.0
BBCA,A,Core quality/liquid,3.0,5.0,1.5,70.0
BBNI,A,Core quality/liquid,3.0,5.0,1.5,70.0
BBRI,A,Core quality/liquid,3.0,5.0,1.5,70.0
BBTN,A,Core quality/liquid,3.0,5.0,1.5,70.0
BFIN,A,Core quality/liquid,3.0,5.0,1.5,70.0
BKSL,A,Core quality/liquid,3.0,5.0,1.5,70.0
BMRI,A,Core quality/liquid,3.0,5.0,1.5,70.0
BRMS,A,Core quality/liquid,3.0,5.0,1.5,70.0
BRPT,A,Core quality/liquid,3.0,5.0,1.5,70.0
BSDE,A,Core quality/liquid,3.0,5.0,1.5,70.0
BUKA,A,Core quality/liquid,3.0,5.0,1.5,70.0
BUMI,A,Core quality/liquid,3.0,5.0,1.5,70.0
CBDK,A,Core quality/liquid,3.0,5.0,1.5,70.0
CMRY,A,Core quality/liquid,3.0,5.0,1.5,70.0
CPIN,A,Core quality/liquid,3.0,5.0,1.5,70.0
CTRA,A,Core quality/liquid,3.0,5.0,1.5,70.0
CUAN,A,Core quality/liquid,3.0,5.0,1.5,70.0
DEWA,A,Core quality/liquid,3.0,5.0,1.5,70.0
DSNG,A,Core quality/liquid,3.0,5.0,1.5,70.0
ELSA,A,Core quality/liquid,3.0,5.0,1.5,70.0
EMTK,A,Core quality/liquid,3.0,5.0,1.5,70.0
ENRG,A,Core quality/liquid,3.0,5.0,1.5,70.0
ERAA,A,Core quality/liquid,3.0,5.0,1.5,70.0
ESSA,A,Core quality/liquid,3.0,5.0,1.5,70.0
EXCL,A,Core quality/liquid,3.0,5.0,1.5,70.0
GGRM,A,Core quality/liquid,3.0,5.0,1.5,70.0
GOTO,A,Core quality/liquid,3.0,5.0,1.5,70.0
HEAL,A,Core quality/liquid,3.0,5.0,1.5,70.0
HRTA,A,Core quality/liquid,3.0,5.0,1.5,70.0
HRUM,A,Core quality/liquid,3.0,5.0,1.5,70.0
ICBP,A,Core quality/liquid,3.0,5.0,1.5,70.0
INCO,A,Core quality/liquid,3.0,5.0,1.5,70.0
INDF,A,Core quality/liquid,3.0,5.0,1.5,70.0
INDY,A,Core quality/liquid,3.0,5.0,1.5,70.0
INKP,A,Core quality/liquid,3.0,5.0,1.5,70.0
ISAT,A,Core quality/liquid,3.0,5.0,1.5,70.0
ITMG,A,Core quality/liquid,3.0,5.0,1.5,70.0
JPFA,A,Core quality/liquid,3.0,5.0,1.5,70.0
JSMR,A,Core quality/liquid,3.0,5.0,1.5,70.0
KIJA,A,Core quality/liquid,3.0,5.0,1.5,70.0
KLBF,A,Core quality/liquid,3.0,5.0,1.5,70.0
KPIG,A,Core quality/liquid,3.0,5.0,1.5,70.0
LSIP,A,Core quality/liquid,3.0,5.0,1.5,70.0
MAPA,A,Core quality/liquid,3.0,5.0,1.5,70.0
MAPI,A,Core quality/liquid,3.0,5.0,1.5,70.0
MBMA,A,Core quality/liquid,3.0,5.0,1.5,70.0
MDKA,A,Core quality/liquid,3.0,5.0,1.5,70.0
MEDC,A,Core quality/liquid,3.0,5.0,1.5,70.0
MIKA,A,Core quality/liquid,3.0,5.0,1.5,70.0
MYOR,A,Core quality/liquid,3.0,5.0,1.5,70.0
NCKL,A,Core quality/liquid,3.0,5.0,1.5,70.0
PGAS,A,Core quality/liquid,3.0,5.0,1.5,70.0
PGEO,A,Core quality/liquid,3.0,5.0,1.5,70.0
PNLF,A,Core quality/liquid,3.0,5.0,1.5,70.0
PTBA,A,Core quality/liquid,3.0,5.0,1.5,70.0
PTRO,A,Core quality/liquid,3.0,5.0,1.5,70.0
PWON,A,Core quality/liquid,3.0,5.0,1.5,70.0
RAJA,A,Core quality/liquid,3.0,5.0,1.5,70.0
RATU,A,Core quality/liquid,3.0,5.0,1.5,70.0
SCMA,A,Core quality/liquid,3.0,5.0,1.5,70.0
SMGR,A,Core quality/liquid,3.0,5.0,1.5,70.0
SMRA,A,Core quality/liquid,3.0,5.0,1.5,70.0
SSIA,A,Core quality/liquid,3.0,5.0,1.5,70.0
TAPG,A,Core quality/liquid,3.0,5.0,1.5,70.0
TLKM,A,Core quality/liquid,3.0,5.0,1.5,70.0
TOWR,A,Core quality/liquid,3.0,5.0,1.5,70.0
TPIA,A,Core quality/liquid,3.0,5.0,1.5,70.0
UNTR,A,Core quality/liquid,3.0,5.0,1.5,70.0
UNVR,A,Core quality/liquid,3.0,5.0,1.5,70.0
WIFI,A,Core quality/liquid,3.0,5.0,1.5,70.0
AALI,B,Quality / liquid mid-cap,0.0,5.0,1.7,74.0
ADMF,B,Quality / liquid mid-cap,0.0,5.0,1.7,74.0
AGRO,B,Quality / liquid mid-cap,0.0,5.0,1.7,74.0
ANJT,B,Quality / liquid mid-cap,0.0,5.0,1.7,74.0
ARCI,B,Quality / liquid mid-cap,0.0,5.0,1.7,74.0
ASSA,B,Quality / liquid mid-cap,0.0,5.0,1.7,74.0
AUTO,B,Quality / liquid mid-cap,0.0,5.0,1.7,74.0
AVIA,B,Quality / liquid mid-cap,0.0,5.0,1.7,74.0
BJBR,B,Quality / liquid mid-cap,0.0,5.0,1.7,74.0
BJTM,B,Quality / liquid mid-cap,0.0,5.0,1.7,74.0
BNGA,B,Quality / liquid mid-cap,0.0,5.0,1.7,74.0
BNII,B,Quality / liquid mid-cap,0.0,5.0,1.7,74.0
BTPS,B,Quality / liquid mid-cap,0.0,5.0,1.7,74.0
CLEO,B,Quality / liquid mid-cap,0.0,5.0,1.7,74.0
CYBR,B,Quality / liquid mid-cap,0.0,5.0,1.7,74.0
DEPO,B,Quality / liquid mid-cap,0.0,5.0,1.7,74.0
DMAS,B,Quality / liquid mid-cap,0.0,5.0,1.7,74.0
DOID,B,Quality / liquid mid-cap,0.0,5.0,1.7,74.0
DRMA,B,Quality / liquid mid-cap,0.0,5.0,1.7,74.0
GOOD,B,Quality / liquid mid-cap,0.0,5.0,1.7,74.0
HEXA,B,Quality / liquid mid-cap,0.0,5.0,1.7,74.0
HMSP,B,Quality / liquid mid-cap,0.0,5.0,1.7,74.0
IMAS,B,Quality / liquid mid-cap,0.0,5.0,1.7,74.0
IMPC,B,Quality / liquid mid-cap,0.0,5.0,1.7,74.0
INTP,B,Quality / liquid mid-cap,0.0,5.0,1.7,74.0
IPCC,B,Quality / liquid mid-cap,0.0,5.0,1.7,74.0
JRPT,B,Quality / liquid mid-cap,0.0,5.0,1.7,74.0
KINO,B,Quality / liquid mid-cap,0.0,5.0,1.7,74.0
LINK,B,Quality / liquid mid-cap,0.0,5.0,1.7,74.0
LPPF,B,Quality / liquid mid-cap,0.0,5.0,1.7,74.0
MAIN,B,Quality / liquid mid-cap,0.0,5.0,1.7,74.0
MARK,B,Quality / liquid mid-cap,0.0,5.0,1.7,74.0
MCAS,B,Quality / liquid mid-cap,0.0,5.0,1.7,74.0
