Ticker,Sector Code,Sector,IDX Sector,Sector Index,Subsector,Industry,Subindustry,Company Name,Source
AADI,A,Energy,Energi,IDXENERGY,"Minyak, Gas & Batu Bara",Batu Bara,Produksi Batu Bara,PT Adaro Andalan Indonesia Tbk,IDX Live
AALI,D,Consumer Non-Cyclicals,Barang Konsumen Primer,IDXNONCYC,Makanan & Minuman,Produk Makanan Pertanian,Perkebunan & Tanaman Pangan,Astra Agro Lestari Tbk,IDX Live
ABBA,E,Consumer Cyclicals,Barang Konsumen Non-Primer,IDXCYCLIC,Media & Hiburan,Media,Penerbitan,Mahaka Media Tbk,IDX Live
ABDA,G,Financials,Keuangan,IDXFINANCE,Asuransi,Asuransi,Asuransi Umum,PT Asuransi Bina Dana Arta Tbk,IDX Live
ABMM,A,Energy,Energi,IDXENERGY,"Minyak, Gas & Batu Bara",Batu Bara,Produksi Batu Bara,ABM Investama Tbk,IDX Live
ACES,E,Consumer Cyclicals,Barang Konsumen Non-Primer,IDXCYCLIC,Perdagangan Ritel,Ritel Khusus,Ritel Barang Rumah Tangga,PT Aspirasi Hidup Indonesia Tbk,IDX Live
ACRO,E,Consumer Cyclicals,Barang Konsumen Non-Primer,IDXCYCLIC,Pakaian & Barang Mewah,Pakaian & Barang Mewah,Tekstil,PT Samcro Hyosung Adilestari Tbk.,IDX Live
ACST,J,Infrastructures,Infrastruktur,IDXINFRA,Konstruksi Bangunan,Konstruksi Bangunan,Konstruksi Bangunan,PT Acset Indonusa Tbk.,IDX Live
ADCP,H,Properties & Real Estate,Properti & Real Estat,IDXPROPERT,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,PT Adhi Commuter Properti Tbk,IDX Live
ADES,D,Consumer Non-Cyclicals,Barang Konsumen Primer,IDXNONCYC,Makanan & Minuman,Minuman,Minuman Ringan,Akasha Wira International Tbk  Tbk,IDX Live
ADHI,J,Infrastructures,Infrastruktur,IDXINFRA,Konstruksi Bangunan,Konstruksi Bangunan,Konstruksi Bangunan,PT Adhi Karya (Persero) Tbk.,IDX Live
ADMF,G,Financials,Keuangan,IDXFINANCE,Jasa Pembiayaan,Pembiayaan Konsumen,Pembiayaan Konsumen,Adira Dinamika Multi Finance Tbk,IDX Live
ADMG,B,Basic Materials,Barang Baku,IDXBASIC,Barang Baku,Barang Kimia,Barang Kimia Dasar,Polychem Indonesia Tbk,IDX Live
ADMR,A,Energy,Energi,IDXENERGY,"Minyak, Gas & Batu Bara",Batu Bara,Produksi Batu Bara,PT Alamtri Minerals Indonesia Tbk,IDX Live
ADRO,A,Energy,Energi,IDXENERGY,"Minyak, Gas & Batu Bara",Batu Bara,Produksi Batu Bara,Alamtri Resources Indonesia Tbk,IDX Live
AEGS,E,Consumer Cyclicals,Barang Konsumen Non-Primer,IDXCYCLIC,Otomotif & Komponen Otomotif,Komponen Otomotif,Suku Cadang Otomotif,PT Anugerah Spareparts Sejahtera Tbk.,IDX Live
AGAR,D,Consumer Non-Cyclicals,Barang Konsumen Primer,IDXNONCYC,Makanan & Minuman,Produk Makanan Pertanian,"Ikan, Daging & Produk Unggas",PT Asia Sejahtera Mina Tbk,IDX Live
AGII,B,Basic Materials,Barang Baku,IDXBASIC,Barang Baku,Barang Kimia,Barang Kimia Dasar,PT Samator Indo Gas Tbk,IDX Live
AGRO,G,Financials,Keuangan,IDXFINANCE,Bank,Bank,Bank,PT Bank Raya Indonesia Tbk,IDX Live
AGRS,G,Financials,Keuangan,IDXFINANCE,Bank,Bank,Bank,PT Bank IBK Indonesia Tbk.,IDX Live
AHAP,G,Financials,Keuangan,IDXFINANCE,Asuransi,Asuransi,Asuransi Umum,Asuransi Harta Aman Pratama Tbk,IDX Live
AIMS,A,Energy,Energi,IDXENERGY,"Minyak, Gas & Batu Bara",Batu Bara,Produksi Batu Bara,PT Artha Mahiya Investama Tbk,IDX Live
AISA,D,Consumer Non-Cyclicals,Barang Konsumen Primer,IDXNONCYC,Makanan & Minuman,Makanan Olahan,Makanan Olahan,PT FKS Food Sejahtera Tbk,IDX Live
AKKU,E,Consumer Cyclicals,Barang Konsumen Non-Primer,IDXCYCLIC,Jasa Konsumen,Pariwisata & Rekreasi,"Hotel, Resor & Kapal Pesiar",PT Anugerah Kagum Karya Utama Tbk,IDX Live
AKPI,B,Basic Materials,Barang Baku,IDXBASIC,Barang Baku,Barang Kimia,Barang Kimia Khusus,Argha Karya Prima Ind. Tbk,IDX Live
AKRA,A,Energy,Energi,IDXENERGY,"Minyak, Gas & Batu Bara",Minyak & Gas,Penyimpanan & Distribusi Minyak & Gas,PT AKR Corporindo Tbk.,IDX Live
AKSI,K,Transportation & Logistics,Transportasi & Logistik,IDXTRANS,Logistik & Pengantaran,Logistik & Pengantaran,Logistik & Pengantaran,PT Mineral Sumberdaya Mandiri Tbk,IDX Live
ALDO,B,Basic Materials,Barang Baku,IDXBASIC,Barang Baku,Wadah & Kemasan,Wadah & Kemasan,Alkindo Naratama Tbk,IDX Live
ALII,A,Energy,Energi,IDXENERGY,"Minyak, Gas & Batu Bara",Batu Bara,Distribusi Batu Bara,PT Ancara Logistics Indonesia Tbk,IDX Live
ALKA,B,Basic Materials,Barang Baku,IDXBASIC,Barang Baku,Logam & Mineral,Alumunium,Alakasa Industrindo Tbk,IDX Live
ALMI,B,Basic Materials,Barang Baku,IDXBASIC,Barang Baku,Logam & Mineral,Alumunium,Alumindo Light Metal Industry Tbk,IDX Live
ALTO,D,Consumer Non-Cyclicals,Barang Konsumen Primer,IDXNONCYC,Makanan & Minuman,Minuman,Minuman Ringan,Tri Banyan Tirta Tbk,IDX Live
AMAG,G,Financials,Keuangan,IDXFINANCE,Asuransi,Asuransi,Asuransi Umum,Asuransi Multi Artha Guna Tbk,IDX Live
AMAN,H,Properties & Real Estate,Properti & Real Estat,IDXPROPERT,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,PT Makmur Berkah Amanda Tbk.,IDX Live
AMAR,G,Financials,Keuangan,IDXFINANCE,Bank,Bank,Bank,PT Bank Amar Indonesia Tbk.,IDX Live
AMFG,C,Industrials,Perindustrian,IDXINDUST,Barang Perindustrian,Produk & Perlengkapan Bangunan,Produk & Perlengkapan Bangunan,Asahimas Flat Glass Tbk,IDX Live
AMIN,C,Industrials,Perindustrian,IDXINDUST,Barang Perindustrian,Mesin,Mesin & Komponen Perindustrian,PT Ateliers Mecaniques D Indonesie Tbk.,IDX Live
AMMN,B,Basic Materials,Barang Baku,IDXBASIC,Barang Baku,Logam & Mineral,Tembaga,PT Amman Mineral Internasional Tbk.,IDX Live
AMMS,D,Consumer Non-Cyclicals,Barang Konsumen Primer,IDXNONCYC,Makanan & Minuman,Produk Makanan Pertanian,"Ikan, Daging & Produk Unggas",PT Agung Menjangan Mas Tbk,IDX Live
AMOR,G,Financials,Keuangan,IDXFINANCE,Jasa Investasi,Jasa Investasi,Manajemen Investasi,PT Ashmore Asset Management Indonesia Tbk.,IDX Live
AMRT,D,Consumer Non-Cyclicals,Barang Konsumen Primer,IDXNONCYC,Perdagangan Ritel Barang Primer,Perdagangan Ritel Barang Primer,Supermarket,PT Sumber Alfaria Trijaya Tbk.,IDX Live
ANDI,D,Consumer Non-Cyclicals,Barang Konsumen Primer,IDXNONCYC,Makanan & Minuman,Produk Makanan Pertanian,Perkebunan & Tanaman Pangan,PT Andira Agro Tbk,IDX Live
ANJT,D,Consumer Non-Cyclicals,Barang Konsumen Primer,IDXNONCYC,Makanan & Minuman,Produk Makanan Pertanian,Perkebunan & Tanaman Pangan,PT Austindo Nusantara Jaya Tbk.,IDX Live
ANTM,B,Basic Materials,Barang Baku,IDXBASIC,Barang Baku,Logam & Mineral,Logam & Mineral Lainnya,PT ANTAM (Persero) Tbk,IDX Live
APEX,A,Energy,Energi,IDXENERGY,"Minyak, Gas & Batu Bara","Pendukung Minyak, Gas & Batu Bara",Jasa Pengeboran Minyak & Gas,Apexindo Pratama Duta Tbk,IDX Live
APIC,G,Financials,Keuangan,IDXFINANCE,Perusahaan Holding & Investasi,Perusahaan Holding & Investasi,Perusahaan Holding Keuangan,PACIFIC STRATEGIC FINANCIAL Tbk,IDX Live
APII,C,Industrials,Perindustrian,IDXINDUST,Barang Perindustrian,Mesin,Mesin & Komponen Perindustrian,PT Arita Prima Indonesia Tbk.,IDX Live
APLI,B,Basic Materials,Barang Baku,IDXBASIC,Barang Baku,Barang Kimia,Barang Kimia Khusus,Asiaplast Industries Tbk,IDX Live
